DESTINATION ID,Place Name,Tourist Location,Budget,Duration (IN DAYS),Best Time to Visit,Popularity,Review,Type
1,"Agra, Uttar Pradesh",Taj Mahal,1000,3,Year-round,High,"""Impressive architecture, loved the visit.""",Historical
2,"Agra, Uttar Pradesh",Agra Fort,1200,4,Year-round,High,"""Historical marvel, enjoyed exploring.""",Historical
3,"Agra, Uttar Pradesh",Fatehpur Sikri,1300,5,Winter,Medium,"""Fascinating historical site, great visit.""",Historical
4,"Agra, Uttar Pradesh",Akbar Tomb Sikandra,1100,3,Year-round,High,"""Beautiful tomb, peaceful atmosphere.""",Historical
5,"Agra, Uttar Pradesh",Mariam tomb Sikandra,1000,3,Year-round,Medium,"""Serene and well-maintained tomb.""",Historical
6,"Agra, Uttar Pradesh",Itimad-ud-Daulah-Tomb,900,2,Year-round,Medium,"""Hidden gem, enjoyed the architecture.""",Historical
7,"Agra, Uttar Pradesh",Ram Bagh,800,2,Year-round,Low,"""Quiet garden, good for a stroll.""",Nature
8,"Agra, Uttar Pradesh",Mehtab Bagh,900,2,Year-round,Medium,"""Scenic views of the Taj Mahal.""",Nature
9,"Agra, Uttar Pradesh",Mausoleum,950,3,Year-round,Medium,"""Rich history, worth a visit.""",Historical
10,"Lucknow, Uttar Pradesh",Site of Sahet mahet,1200,4,Winter,Medium,"""Cultural heritage, enjoyed exploring.""",Historical
11,"Lucknow, Uttar Pradesh",Residency Building,1100,3,Winter,Low,"""Historical site, informative visit.""",Historical
12,"Lucknow, Uttar Pradesh",Piprahwa & Ganwaria,1400,5,Spring,High,"""Serene surroundings, peaceful experience.""",Nature
13,"Jhansi, Uttar Pradesh",Gupta Temple & Varah Temple,1000,3,Year-round,Medium,"""Architectural beauty, peaceful ambiance.""",Historical
14,"Jhansi, Uttar Pradesh",Kalinjar Fort,1300,5,Winter,High,"""Historical fort, stunning views.""",Historical
15,"Jhansi, Uttar Pradesh",Rani Lakshmi Bai Mahal,1100,4,Winter,Medium,"""Tribute to a brave queen.""",Historical
16,"Jhansi, Uttar Pradesh",Rani Jhansi Fort,1200,4,Winter,Medium,"""Rich history, well-preserved fort.""",Historical
17,"Sarnath, Uttar Pradesh",Lord Cornwallis Tomb,900,2,Year-round,Low,"""Peaceful atmosphere, enjoyed the visit.""",Historical
